"ID","Asset","Category","Description","Owner","Data Classification","CIA Priority"
"A-01","Fleet Telematics Platform","Cloud/IoT","GPS + engine diagnostics from ~340 collection vehicles; vendor-hosted, integrates with dispatch","Fleet Operations Mgr","Confidential","Integrity, Availability"
"A-02","Dispatch & Route Optimization System","Software (SaaS)","Daily route planning, real-time dispatch to drivers","Operations Director","Internal","Availability"
"A-03","Customer Billing Portal","Web Application","Customer-facing invoicing, payment, and account management","Finance Director","Restricted","Confidentiality, Integrity"
"A-04","Driver Mobile App","Mobile Application","Route confirmation, e-signatures, photo proof-of-service, cached login","Fleet Operations Mgr","Internal","Confidentiality"
"A-05","ERP / Finance System","Software (on-prem + cloud)","General ledger, AP/AR, payroll integration, wire transfer approval","CFO","Restricted","Confidentiality, Integrity"
"A-06","HR / Payroll System","SaaS","Employee PII, SIN/SSN, banking details, benefits","HR Director","Restricted","Confidentiality"
"A-07","Corporate Email & Collaboration (M365)","SaaS","Email, Teams, SharePoint document storage","IT Manager","Confidential","Confidentiality, Availability"
"A-08","Depot Wi-Fi Networks (x6 regional depots)","Network Infrastructure","Staff and guest wireless at each regional depot","IT Manager","Internal","Availability"
"A-09","Environmental Compliance Data Warehouse","Cloud Data Platform","Waste volume, disposal method, and emissions data submitted to regulators","Compliance Officer","Restricted","Integrity, Availability"
"A-10","Third-Party Disposal Facility Data Exchange","B2B Integration","Automated data exchange (manifests, weights) with partner disposal/recycling facilities","Compliance Officer","Confidential","Integrity"
"A-11","On-Prem File Servers (regional depots)","Hardware/Storage","Local operational documents, maintenance logs, legacy scheduling files","IT Manager","Internal","Availability"
"A-12","Depot CCTV & Access Control","Physical Security System","Badge access and camera systems at depots and processing facility","Facilities Manager","Internal","Availability, Integrity"
