"ID","Threat Scenario","Vulnerability","Asset(s)","Inherent Likelihood","Inherent Impact","Inherent Score","Inherent Level","Existing Controls","Residual Likelihood","Residual Impact","Residual Score","Residual Level","Treatment","Owner","Target Date"
"R-01","Phishing-delivered ransomware encrypts ERP/finance data, halting payroll and billing","Limited phishing-resistant MFA; inconsistent security-awareness training; legacy VPN access to ERP","A-05 ERP/Finance System","4","5","20","Critical","Email filtering (basic), nightly backups (untested restore), antivirus on endpoints","2","5","10","High","Mitigate","CFO / IT Manager","Q1 2027"
"R-02","Business email compromise (BEC) leads to a fraudulent wire transfer approval","No dual-approval requirement above a set dollar threshold; spoofable sender display names not flagged","A-05 ERP/Finance System, A-07 Email","3","5","15","High","Manual callback verification for new vendors (inconsistently followed)","2","5","10","High","Mitigate","CFO","Q1 2027"
"R-03","Falsified or tampered environmental compliance data submitted to regulators (insider or integration error)","No integrity checksums on waste-volume data exchange; limited audit trail on manual data corrections","A-09 Compliance Data Warehouse, A-10 Disposal Facility Exchange","2","5","10","High","Monthly manual spot-check reconciliation by Compliance Officer","2","4","8","Medium","Mitigate","Compliance Officer","Q2 2027"
"R-04","Unpatched IoT telematics units exploited as a pivot point into the corporate network","Vendor-managed firmware with no formal patch SLA; telematics VLAN not fully segmented from corporate LAN","A-01 Fleet Telematics Platform","3","4","12","High","Vendor manages patching (no visibility into cadence); partial network segmentation","2","4","8","Medium","Mitigate","IT Manager","Q2 2027"
"R-05","Customer billing portal compromised via injection or broken access control, exposing customer payment data","Portal has not had an independent security assessment since launch; no WAF in front of the application","A-03 Customer Billing Portal","3","5","15","High","TLS in transit, PCI-scoped payment processor (tokenized, not stored directly)","2","4","8","Medium","Mitigate","Finance Director / IT Manager","Q1 2027"
"R-06","Lost or stolen driver mobile device exposes cached credentials or customer service-location data","No enforced mobile device management (MDM); devices not required to have remote wipe enabled","A-04 Driver Mobile App","4","3","12","High","App requires PIN on open; no remote wipe or MDM enrollment enforced","2","3","6","Medium","Mitigate","Fleet Operations Mgr","Q3 2027"
"R-07","Weak depot guest Wi-Fi security allows an attacker on-site to reach internal systems","Guest and staff Wi-Fi share a VLAN at two of six depots (legacy hardware)","A-08 Depot Wi-Fi Networks","3","3","9","Medium","WPA2 in use; guest network exists but VLAN separation incomplete at 2 of 6 sites","2","3","6","Medium","Mitigate","IT Manager","Q3 2027"
"R-08","Cloud data warehouse misconfiguration exposes environmental/compliance data externally","No automated cloud security posture monitoring; access reviews are manual and infrequent","A-09 Compliance Data Warehouse","2","4","8","Medium","Access restricted to Compliance team by default; no automated misconfiguration scanning","2","3","6","Medium","Mitigate","IT Manager / Compliance Officer","Q2 2027"
"R-09","HR/Payroll SaaS breach exposes employee PII and banking details","Single sign-on not enforced for the HR platform; standing admin accounts not regularly reviewed","A-06 HR/Payroll System","2","5","10","High","Vendor holds SOC 2 Type II; encrypted at rest per vendor attestation","1","4","4","Low","Mitigate","HR Director","Q2 2027"
"R-10","DDoS against customer billing portal during month-end billing cycle disrupts payment collection","No CDN/DDoS mitigation service in front of the portal","A-03 Customer Billing Portal","2","3","6","Medium","Cloud host provides basic infrastructure-level protection only","2","2","4","Low","Accept (residual risk within appetite; revisit if traffic profile changes)","IT Manager","Monitor"
